"","function.","description","CV1","CV2","CV3","CV4","CV5","GF1","GF2","GF3","GF4","GF5","GF6"
"4689","K16203","dppA1; D-amino peptidase [EC:3.4.11.-]",4.25,6,5.75,11,4.25,0,0,0,0,0,1
"4695","K16214","pezT; UDP-N-acetylglucosamine kinase [EC:2.7.1.176]",2,3,5,1.5,2.5,0,0,0,0,0,0
"4698","K16235","mmuP; S-methylmethionine transporter",48,12,16,36,4,0,0,0,0,0,2
"4708","K16323","yxjA, nupG; purine nucleoside transport protein",44,10,16,38,5,0,0,0,0,0,0
"4711","K16328","psuK; pseudouridine kinase [EC:2.7.1.83]",92,26.5,179.5,78.5,26,0.5,0,0,0,0,0
"4712","K16329","psuG; pseudouridylate synthase [EC:4.2.1.70]",4,5,9,7,2,0,0,0,0,0,0
"4719","K16435","evaA, eryBVI, tylCVI, tylX3, staJ; dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose 2,3-dehydratase [EC:4.2.1.159]",15.17,15.67,2,5.17,4.67,0,0,0,0,0,0
"4772","K16849","uxaA1; altronate dehydratase small subunit [EC:4.2.1.7]",19,33,19,16,8,0,0,0,0,0,0
"4773","K16850","uxaA2; altronate dehydratase large subunit [EC:4.2.1.7]",17,33,17,15,7,0,0,0,0,0,0
"4781","K16881","K16881; mannose-1-phosphate guanylyltransferase / phosphomannomutase [EC:2.7.7.13 5.4.2.8]",29.5,53,29,16.5,8.5,0,0,0,0,0,1.5
"4792","K16925","ykoE; energy-coupling factor transport system substrate-specific component",44.25,12,17.75,38,5.25,0,0,3.5,0,0,0
"4793","K16926","htsT; energy-coupling factor transport system substrate-specific component",58.25,69,34.75,64,28.75,0,0,0,0,0,0
"4796","K16937","doxD; thiosulfate dehydrogenase [quinone] large subunit [EC:1.8.5.2]",46.51,49.51,6,15.51,14.51,0,0,0,0,0,1
"4800","K16961","yxeM; putative amino-acid transport system substrate-binding protein",3.5,70.5,4,8,4,0,0,0,0,0,0
"4801","K16962","yxeN; putative amino-acid transport system permease protein",3.5,70.5,4,8,4,0,0,0,0,0,0
"4835","K17243","aguG; alpha-1,4-digalacturonate transport system permease protein",2,4,3,1,1,0,0,0,0,0,0
"4848","K17363","urdA; urocanate reductase [EC:1.3.99.33]",12,33,25,11.5,2.5,0,0,0,0,0,0
"4856","K17489","E2.1.3.1-12S; methylmalonyl-CoA carboxyltransferase 12S subunit [EC:2.1.3.1]",16.5,21,15,7.5,3,0,0,0,0,0,0.5
"4861","K17680","PEO1; twinkle protein [EC:3.6.4.12]",16,6.5,3,9.5,1.5,0,0,0,0,0,0.5
"4887","K17992","hndB; NADP-reducing hydrogenase subunit HndB [EC:1.12.1.3]",65.17,110.67,47,199.17,55.67,2,0,0,2,2,2
"4891","K18013","kce; 3-keto-5-aminohexanoate cleavage enzyme [EC:2.3.1.247]",9,19,11,1,1,0,0,0,0,0,0
"4923","K18210","tfrB; fumarate reductase (CoM/CoB) subunit B [EC:1.3.4.1]",2,3,5,1.5,2.5,0,0,0,0,0,0
"4956","K18345","vanSB, vanS, vanSD; two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]",33,32,23,41,42,0,0,0,0,0,0
"4983","K18575","TMEM86B; alkenylglycerophosphocholine hydrolase [EC:3.3.2.2]",6,19,3,15,3,0,1,0,0,0,0
"5012","K18830","pezA; HTH-type transcriptional regulator / antitoxin PezA",2,3,5,1.5,2.5,0,0,0,0,0,0
"5053","K18926","lmrB; MFS transporter, DHA2 family, lincomycin resistance protein",60,19,30,52,11,0,0,0,0,0,0
"5057","K18934","lmrS; MFS transporter, DHA2 family, multidrug resistance protein",44,10,16,35,5,0,0,0,0,0,0
"5058","K18940","arlS; two-component system, OmpR family, sensor histidine kinase ArlS [EC:2.7.13.3]",9,7,3,128,23,0,0,0,0,1,1
"5066","K18983","gci; D-galactarolactone cycloisomerase [EC:5.5.1.27]",4,1,4,2,2,0,0,0,0,0,0
"5079","K19049","cslA; chondroitin AC lyase [EC:4.2.2.5]",53.67,28.17,9.5,28.92,7.67,0,0,0,0,0,1.25
"5081","K19051","hepB; heparin/heparan-sulfate lyase [EC:4.2.2.7 4.2.2.8]",7.5,2,1.5,4.75,0.5,0,0,0,0,0,0.25
"5092","K19114","csh1; CRISPR-associated protein Csh1",9,7,3,128,23,0,0,0,0,1,1
"5093","K19115","csh2; CRISPR-associated protein Csh2",9,7,3,128,23,0,0,0,0,1,1
"5094","K19116","cas5h; CRISPR-associated protein Cas5h",9,7,3,128,23,0,0,0,0,1,1
"5101","K19126","casE, cse3; CRISPR system Cascade subunit CasE",1,3,2,1,0.67,0,0,0,0,0,0
"5115","K19200","IAL; isopenicillin-N N-acyltransferase like protein",5,9,8,4,1,0,0,0,0,0,0
"5163","K19355","MAN; mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]",7.5,2,1.5,4.75,0.5,0,0,0,0,0,0.25
"5168","K19422","epsD; glycosyltransferase EpsD [EC:2.4.-.-]",7,7,11,11,6,0,0,0,0,0,1
"5171","K19427","epsJ; glycosyltransferase EpsJ [EC:2.4.-.-]",15.17,15.67,2,5.17,4.67,0,0,0,0,0,0
"5179","K19507","PTS-Gfr-EIIB, gfrB; PTS system, fructoselysine/glucoselysine-specific IIB component [EC:2.7.1.-]",20.25,46,21.75,174,39.25,2,0,0,2,2,2
"5180","K19508","PTS-Gfr-EIIC, gfrC; PTS system, fructoselysine/glucoselysine-specific IIC component",20.25,46,21.75,174,39.25,2,0,0,2,2,2
"5181","K19509","PTS-Gfr-EIID, gfrD; PTS system, fructoselysine/glucoselysine-specific IID component",20.25,46,21.75,174,39.25,2,0,0,2,2,2
